sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
excluir,,Petshop,simple,,petshop_code,excluir,,,,1,0,"Catalog, Search",150.000000,,,,excluir,excluir,excluir,"excluir ",,,,,,,,,09/09/2021 11:01,09/09/2021 11:01,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=pequeno",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
excluir 2,,Sneakers,simple,,sneakers_code,excluir 2,,,,1,0,"Catalog, Search",410.000000,,,,excluir-2,excluir 2,excluir 2,"excluir 2 ",,,,,,,,,09/09/2021 11:02,09/09/2021 11:03,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"sneakers_type=Masculino,sneakers_type_shock_absorber=Boost",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
P-RPG-1-Branco,,Petshop,virtual,Default Category/Gatos,petshop_code,Roupas para gatos-Branco,,,,1,0,Not Visible Individually,50.000000,,,,roupas-para-gatos-branco,Roupas para gatos,Roupas para gatos,"Roupas para gatos ",,,,,,,,,09/09/2021 14:38,09/09/2021 14:40,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"color=Branco,petshop_shape=medio",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/6/3/631-6317415_pikachu-pokemon-pixel-art-pikachu_2.png,,,,,,,,,,,,,,
P-RPG-1-Preto,,Petshop,virtual,Default Category/Gatos,petshop_code,Roupas para gatos-Preto,,,,1,0,Not Visible Individually,50.000000,,,,roupas-para-gatos-preto,Roupas para gatos,Roupas para gatos,"Roupas para gatos ",,,,,,,,,09/09/2021 14:39,09/09/2021 14:39,,,Block after Info Column,,,,No,,,,,Product -- Full Width,,Use config,,"color=Preto,petshop_shape=medio",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/a/captura_de_tela_de_2021-09-07_13-12-18_1.png,,,,,,,,,,,,,,
P-RPG-1,,Petshop,configurable,Default Category/Gatos,petshop_code,Roupas para gatos,,,,1,0,"Catalog, Search",,,,,roupas-para-gatos,Roupas para gatos,Roupas para gatos,"Roupas para gatos ",,,,,,,,,09/09/2021 14:39,09/09/2021 14:39,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,petshop_shape=medio,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/6/3/631-6317415_pikachu-pokemon-pixel-art-pikachu_1.png,,,,,,,,,,,,,"sku=P-RPG-1-Branco,color=Branco|sku=P-RPG-1-Preto,color=Preto",color=Color
F-AO-1,,Sneakers,simple,"Fanon,Fanon/Lançamentos,Fanon/Masculino,Fanon/Masculino/Casual",sneakers_code,Adidas Ozweego Black,,,0.500000,1,0,"Catalog, Search",799.000000,,,,adidas-ozweego-black,Adidas Ozweego Black,Adidas Ozweego Black,"Adidas Ozweego Black ",,,,,,,,,09/09/2021 14:52,09/09/2021 14:52,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"sneakers_type=Masculino,sneakers_type_shock_absorber=espuma em EVA",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/d/adidas-originals-ozweego-blacknbsp_ttlpiax1mhizvf0n.jpg,https://media.very.co.uk/i/very/RHXMH_SQ1_0000000226_BLACK_BLACK_SLf/adidas-originals-ozweego-blacknbsp.jpg,,,,,,,,,,,,,
F-AO-2,,Sneakers,simple,"Fanon,Fanon/Lançamentos,Fanon/Feminino,Fanon/Feminino/Casual",sneakers_code,Adidas Ozweego White,,,0.500000,1,0,"Catalog, Search",799.000000,,,,adidas-ozweego-black-1,,,,,,,,,,,,09/09/2021 14:52,09/09/2021 14:52,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"sneakers_type=Masculino,sneakers_type_shock_absorber=espuma em EVA",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/d/adidas-ozweego-creamnbsp_vitalthu2mlnfwz7.jpg,https://media.littlewoods.com/i/littlewoods/RHXPY_SQ1_0000000067_CREAM_SLf/adidas-ozweego-creamnbsp.jpg,,,,,,,,,,,,,
F-AF1-1,,Sneakers,simple,"Fanon,Fanon/Lançamentos,Fanon/Masculino,Fanon/Masculino/Corrida",sneakers_code,Air Force 1 White & Black,,,0.700000,1,0,"Catalog, Search",699.000000,,,,air-force-1-white-black,Air Force 1 White & Black,Air Force 1 White & Black,"Air Force 1 White & Black ",,,,,,,,,09/09/2021 14:52,09/09/2021 14:52,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"sneakers_type=Masculino,sneakers_type_shock_absorber=Gel",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/n/i/nike-air-force-1-07-shoe-whiteblack_dyibdcwfinzsnqwo.jpg,https://media.littlewoods.com/i/littlewoods/PLG7R_SQ1_0000000269_WHITE_BLACK_SLf/nike-air-force-1-07-shoe-whiteblack.jpg,,,,,,,,,,,,,
F-AF1-2,,Sneakers,simple,"Fanon,Fanon/Masculino,Fanon/Masculino/Skate",sneakers_code,Air Force 1 Black,,,0.500000,1,0,"Catalog, Search",699.000000,,,,air-force-1-white-black-1,,,,,,,,,,,,09/09/2021 14:52,09/09/2021 14:52,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"sneakers_type=Masculino,sneakers_type_shock_absorber=Gel",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/n/i/nike-air-force-1-junior-trainers-black_1r3xr0cf8kwz6dg5.jpg,https://media.very.co.uk/i/very/PKDDT_SQ1_0000000226_BLACK_BLACK_SLf/nike-air-force-1-junior-trainers-black.jpg,,,,,,,,,,,,,
F-AJ1H-1,,Sneakers,simple,"Fanon,Fanon/Lançamentos,Fanon/Masculino,Fanon/Masculino/Chuteiras",sneakers_code,Air Jordan 1 High Black & White,,,0.500000,1,0,"Catalog, Search",1399.000000,,,,air-jordan-1-high-black-white,Air Jordan 1 High Black & White,Air Jordan 1 High Black & White,"Air Jordan 1 High Black & White ",,,,,,,,,09/09/2021 14:52,09/09/2021 14:52,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"sneakers_type=Masculino,sneakers_type_shock_absorber=Gel",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/i/highogtwist1_480x480_lcscuvudby3b5062.jpg,https://cdn.shopify.com/s/files/1/0587/5571/1152/products/HIGHOGTWIST1_480x480.jpg,,,,,,,,,,,,,
