sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
Shampoo_anti_pulgas,,Petshop,simple,Patinhas/Cachorros,petshop_code,Shampoo anti pulgas,,,300.000000,1,0,"Catalog, Search",20.000000,,,,shampoo-anti-pulgas,Shampoo anti pulgas,Shampoo anti pulgas,"Shampoo anti pulgas ",https://images-americanas.b2w.io/produtos/01/00/img/1947638/1/1947638138_1GG.jpg,https://images-americanas.b2w.io/produtos/01/00/img/1947638/1/1947638138_1GG.jpg,https://images-americanas.b2w.io/produtos/01/00/img/1947638/1/1947638138_1GG.jpg,https://images-americanas.b2w.io/produtos/01/00/img/1947638/1/1947638138_1GG.jpg,https://images-americanas.b2w.io/produtos/01/00/img/1947638/1/1947638138_1GG.jpg,https://images-americanas.b2w.io/produtos/01/00/img/1947638/1/1947638138_1GG.jpg,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remédio,petshop_shape=Médio",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Condicionador,,Petshop,simple,Patinhas/Cachorros,petshop_code,Condicionador,,,,1,0,"Catalog, Search",25.000000,,,,condicionador,Condicionador,Condicionador,"Condicionador ",,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remédio,petshop_shape=Médio",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Racao_para_cachorro_20kg,,Petshop,simple,,petshop_code,Ração para cachorro 20kg,,,20.000000,1,0,"Catalog, Search",200.000000,,,,racao-para-cachorro-20kg,Ração para cachorro 20kg,Ração para cachorro 20kg,"Ração para cachorro 20kg ",,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=Médio",40.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Coleira_para_cachorro,,Petshop,simple,,petshop_code,Coleira peitoral para cachorro,,,300.000000,1,0,"Catalog, Search",18.990000,,,,coleira-peitoral-para-cachorro,Coleira peitoral para cachorro,Coleira peitoral para cachorro,"Coleira peitoral para cachorro ",,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Coleiras,petshop_shape=Pequeno",100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Racao_Escopet_Natural_32,,Petshop,simple,,petshop_code,"Ração Escopet Natural  ",,,20000.000000,1,0,"Catalog, Search",234.990000,,,,racao-escopet-natural,"Ração Escopet Natural  ","Ração Escopet Natural  ","Ração Escopet Natural   ",https://cdn.shopify.com/s/files/1/0055/4467/3353/products/254_25_brasil_ecopet-natural_junior_large.png?v=1546385647,https://cdn.shopify.com/s/files/1/0055/4467/3353/products/254_25_brasil_ecopet-natural_junior_large.png?v=1546385647,https://cdn.shopify.com/s/files/1/0055/4467/3353/products/254_25_brasil_ecopet-natural_junior_large.png?v=1546385647,https://cdn.shopify.com/s/files/1/0055/4467/3353/products/254_25_brasil_ecopet-natural_junior_large.png?v=1546385647,https://cdn.shopify.com/s/files/1/0055/4467/3353/products/254_25_brasil_ecopet-natural_junior_large.png?v=1546385647,https://cdn.shopify.com/s/files/1/0055/4467/3353/products/254_25_brasil_ecopet-natural_junior_large.png?v=1546385647,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=Pequeno",50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Soft_Care_Dental,,Petshop,simple,,petshop_code,Soft Care Dental,,,100.000000,1,0,"Catalog, Search",68.000000,,,,soft-care-dental,Soft Care Dental,Soft Care Dental,"Soft Care Dental ",,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Remédio,petshop_shape=Médio",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Areia Mineralizada,,Petshop,simple,,petshop_code,Areia Mineralizada,,,150.000000,1,0,"Catalog, Search",25.950000,,,,areia-mineralizada,Areia Mineralizada,Areia Mineralizada,"Areia Mineralizada ",,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,petshop_shape=Pequeno,65.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Viveiro para passaros,,Petshop,simple,,petshop_code,Viveiro para passaros,,,1000.000000,1,0,"Catalog, Search",350.000000,,,,viveiro-para-passaros,Viveiro para passaros,Viveiro para passaros,"Viveiro para passaros ",https://i.pinimg.com/originals/34/5e/af/345eaf2af30b2a495776f1bf7baf0ad2.jpg,https://i.pinimg.com/originals/34/5e/af/345eaf2af30b2a495776f1bf7baf0ad2.jpg,https://i.pinimg.com/originals/34/5e/af/345eaf2af30b2a495776f1bf7baf0ad2.jpg,https://i.pinimg.com/originals/34/5e/af/345eaf2af30b2a495776f1bf7baf0ad2.jpg,https://i.pinimg.com/originals/34/5e/af/345eaf2af30b2a495776f1bf7baf0ad2.jpg,https://i.pinimg.com/originals/34/5e/af/345eaf2af30b2a495776f1bf7baf0ad2.jpg,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,petshop_shape=Médio,15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Comida_para_gato,,Petshop,simple,,petshop_code,Comida para gatos - Whiskas,,,50.000000,1,0,"Catalog, Search",54.750000,,,,comida-para-gato,Comida para gato,Comida para gato,Comida para gato,https://www.productinfo24.com/upload/product/ND/a76fbf12_1920x1080.jpg,https://www.productinfo24.com/upload/product/ND/a76fbf12_1920x1080.jpg,https://www.productinfo24.com/upload/product/ND/a76fbf12_1920x1080.jpg,https://www.productinfo24.com/upload/product/ND/a76fbf12_1920x1080.jpg,https://www.productinfo24.com/upload/product/ND/a76fbf12_1920x1080.jpg,https://www.productinfo24.com/upload/product/ND/a76fbf12_1920x1080.jpg,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=Médio",35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Matisse salmão e arroz,,Petshop,simple,,petshop_code,Matisse salmão e arroz,,,,1,0,"Catalog, Search",70.000000,,,,matisse-salm-o-e-arroz,Matisse salmão e arroz,Matisse salmão e arroz,"Matisse salmão e arroz ",https://cdn.shopify.com/s/files/1/0204/8144/1856/products/Matisse_-_Adult_Salmon_Tuna_large.png?v=1586425592,https://cdn.shopify.com/s/files/1/0204/8144/1856/products/Matisse_-_Adult_Salmon_Tuna_large.png?v=1586425592,https://cdn.shopify.com/s/files/1/0204/8144/1856/products/Matisse_-_Adult_Salmon_Tuna_large.png?v=1586425592,https://cdn.shopify.com/s/files/1/0204/8144/1856/products/Matisse_-_Adult_Salmon_Tuna_large.png?v=1586425592,https://cdn.shopify.com/s/files/1/0204/8144/1856/products/Matisse_-_Adult_Salmon_Tuna_large.png?v=1586425592,https://cdn.shopify.com/s/files/1/0204/8144/1856/products/Matisse_-_Adult_Salmon_Tuna_large.png?v=1586425592,,,,,,,Block after Info Column,,,,Use config,,,,,Product -- Full Width,,Use config,,"petshop_product_tag=Ração,petshop_shape=Médio",35.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
